SessionID,StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating
SESSION00815,Undergraduate,Computer Science,2/10/2024,8.08,2,Homework Help,4,Idea Drafted,TRUE,2.8
SESSION00816,Undergraduate,History,3/10/2024,17.71,4,Coding,5,Gave Up,FALSE,3.7
SESSION00817,Undergraduate,Psychology,30/10/2024,16.6,4,Coding,3,Assignment Completed,TRUE,2.6
SESSION00818,Undergraduate,Business,23/1/2025,12.5,3,Writing,3,Idea Drafted,TRUE,2.9
SESSION00819,Graduate,Business,15/8/2024,8.83,2,Studying,3,Idea Drafted,TRUE,3.4
SESSION00820,Undergraduate,Engineering,11/5/2025,32.2,6,Writing,2,Idea Drafted,TRUE,2.7
SESSION00821,Undergraduate,Computer Science,1/9/2024,10.49,2,Writing,4,Assignment Completed,TRUE,3.4
SESSION00822,Undergraduate,Biology,11/7/2024,1.61,1,Studying,4,Idea Drafted,TRUE,5
SESSION00823,High School,Business,7/12/2024,25.33,8,Writing,3,Idea Drafted,FALSE,2.8
SESSION00824,Graduate,Business,31/12/2024,11.3,2,Coding,5,Assignment Completed,TRUE,5
SESSION00825,Undergraduate,History,20/5/2025,43.6,17,Brainstorming,3,Idea Drafted,TRUE,3.4
SESSION00826,Graduate,Computer Science,15/5/2025,28.57,9,Homework Help,4,Gave Up,TRUE,4.9
SESSION00827,Undergraduate,Computer Science,11/9/2024,2.63,1,Studying,2,Confused,FALSE,1
SESSION00828,High School,History,17/8/2024,17.71,6,Studying,2,Idea Drafted,TRUE,2.4
SESSION00829,Undergraduate,Engineering,1/5/2025,18.51,4,Writing,2,Idea Drafted,TRUE,2.1
SESSION00830,Undergraduate,Engineering,26/4/2025,11.47,4,Writing,4,Assignment Completed,TRUE,3.7
SESSION00831,Undergraduate,Math,17/9/2024,30.05,8,Studying,3,Assignment Completed,TRUE,1.3
SESSION00832,High School,Biology,22/3/2025,55.72,14,Coding,4,Assignment Completed,TRUE,4.7
SESSION00833,Undergraduate,Engineering,26/2/2025,30.03,10,Homework Help,3,Assignment Completed,TRUE,3.1
SESSION00834,High School,Math,28/7/2024,9.4,1,Studying,4,Gave Up,FALSE,3.7
SESSION00835,Undergraduate,Computer Science,11/1/2025,23.28,9,Studying,4,Confused,TRUE,3.1
SESSION00836,Graduate,Business,20/8/2024,79.56,16,Research,3,Idea Drafted,TRUE,4.2
SESSION00837,Undergraduate,Biology,21/2/2025,18.73,4,Brainstorming,5,Idea Drafted,FALSE,4.8
SESSION00838,Undergraduate,Computer Science,12/12/2024,21.83,10,Homework Help,3,Assignment Completed,TRUE,2
SESSION00839,Graduate,Engineering,21/7/2024,43.32,11,Homework Help,3,Assignment Completed,FALSE,4.1
SESSION00840,Graduate,History,4/12/2024,33.19,12,Studying,4,Assignment Completed,TRUE,3.7
SESSION00841,Graduate,Computer Science,30/3/2025,16.87,6,Coding,4,Assignment Completed,TRUE,4.9
SESSION00842,Undergraduate,Math,25/2/2025,1.06,1,Coding,3,Assignment Completed,TRUE,3.7
SESSION00843,Undergraduate,Computer Science,22/1/2025,12.28,2,Writing,2,Assignment Completed,TRUE,2.1
SESSION00844,Graduate,Psychology,25/7/2024,28.5,11,Studying,1,Assignment Completed,FALSE,1
SESSION00845,Undergraduate,Psychology,6/4/2025,16.61,4,Writing,3,Idea Drafted,TRUE,2.4
SESSION00846,Graduate,Business,15/4/2025,8.79,3,Writing,5,Assignment Completed,TRUE,3.9
SESSION00847,Undergraduate,History,26/10/2024,4.72,1,Studying,5,Idea Drafted,FALSE,4.5
SESSION00848,Graduate,Business,19/12/2024,13.12,6,Homework Help,3,Confused,FALSE,2.9
SESSION00849,Undergraduate,Business,26/8/2024,13.37,2,Writing,4,Assignment Completed,TRUE,5
SESSION00850,Undergraduate,Math,15/3/2025,15.75,6,Writing,3,Idea Drafted,FALSE,4.5
SESSION00851,High School,Psychology,9/10/2024,31.92,12,Studying,3,Confused,TRUE,3.3
SESSION00852,High School,Biology,19/5/2025,22.73,7,Writing,3,Idea Drafted,TRUE,3.5
SESSION00853,Graduate,Psychology,2/11/2024,16.71,5,Research,5,Idea Drafted,TRUE,4.4
SESSION00854,Graduate,Math,5/7/2024,9.28,2,Homework Help,4,Assignment Completed,TRUE,3.8
SESSION00855,Graduate,Math,6/7/2024,16.81,4,Writing,4,Assignment Completed,TRUE,3.7
SESSION00856,Undergraduate,Biology,17/4/2025,9.37,3,Homework Help,4,Confused,FALSE,4.5
SESSION00857,High School,Psychology,28/6/2024,14.09,2,Writing,5,Idea Drafted,TRUE,4
SESSION00858,Undergraduate,Computer Science,22/4/2025,31.33,14,Writing,4,Assignment Completed,TRUE,4.2
SESSION00859,High School,History,4/7/2024,22.71,10,Writing,5,Idea Drafted,TRUE,4.4
SESSION00860,Undergraduate,Math,21/4/2025,32.43,10,Studying,4,Assignment Completed,TRUE,4.5
SESSION00861,Undergraduate,Math,9/3/2025,11.55,3,Studying,3,Assignment Completed,TRUE,1.9
SESSION00862,Undergraduate,History,19/3/2025,4.87,1,Writing,3,Confused,FALSE,2.7
SESSION00863,Undergraduate,Math,3/7/2024,6.19,3,Writing,4,Assignment Completed,TRUE,4.1
SESSION00864,High School,History,25/5/2025,22.98,5,Homework Help,3,Confused,FALSE,3.7
SESSION00865,High School,Math,4/5/2025,16.08,3,Writing,4,Idea Drafted,TRUE,3.5
SESSION00866,Undergraduate,Biology,31/3/2025,26.3,7,Coding,3,Assignment Completed,TRUE,2.2
SESSION00867,Undergraduate,Engineering,5/7/2024,9.62,2,Writing,3,Gave Up,TRUE,2.1
SESSION00868,High School,Computer Science,26/7/2024,23.07,4,Brainstorming,3,Idea Drafted,TRUE,2.7
SESSION00869,Undergraduate,Psychology,27/10/2024,25.23,6,Writing,3,Idea Drafted,FALSE,2.5
SESSION00870,Graduate,Engineering,27/8/2024,14.32,2,Writing,4,Assignment Completed,TRUE,3.1
SESSION00871,Graduate,Engineering,14/4/2025,47.83,10,Homework Help,4,Assignment Completed,TRUE,2.4
SESSION00872,Undergraduate,Math,8/4/2025,7.09,1,Coding,5,Assignment Completed,TRUE,5
SESSION00873,Undergraduate,Computer Science,3/5/2025,53.75,12,Studying,4,Assignment Completed,TRUE,3.8
SESSION00874,Graduate,Biology,26/2/2025,16.34,4,Studying,3,Idea Drafted,TRUE,2.8
SESSION00875,High School,History,6/2/2025,20.01,5,Writing,4,Idea Drafted,TRUE,3.8
SESSION00876,Graduate,Engineering,25/7/2024,14.81,7,Writing,4,Idea Drafted,FALSE,3.4
SESSION00877,Undergraduate,History,26/7/2024,9.96,4,Homework Help,2,Assignment Completed,TRUE,2.2
SESSION00878,Graduate,History,18/3/2025,23.84,5,Coding,4,Confused,FALSE,4.8
SESSION00879,Undergraduate,Psychology,5/9/2024,13.97,3,Homework Help,3,Assignment Completed,TRUE,2.8
SESSION00880,Undergraduate,Math,27/12/2024,17.5,8,Homework Help,4,Assignment Completed,FALSE,4.8
SESSION00881,Undergraduate,Computer Science,2/5/2025,30.72,10,Research,3,Idea Drafted,TRUE,3.9
SESSION00882,High School,Business,1/8/2024,39.16,11,Studying,3,Assignment Completed,TRUE,3.6
SESSION00883,Undergraduate,Biology,11/12/2024,35.22,11,Studying,4,Gave Up,TRUE,3.9
SESSION00884,High School,Biology,24/4/2025,9.08,2,Homework Help,4,Confused,FALSE,3.6
SESSION00885,Undergraduate,Engineering,6/6/2025,34.93,15,Writing,3,Confused,TRUE,2.3
SESSION00886,Undergraduate,Psychology,19/1/2025,19.52,5,Writing,5,Idea Drafted,TRUE,5
SESSION00887,Undergraduate,Computer Science,2/3/2025,7.31,1,Writing,3,Assignment Completed,TRUE,4.1
SESSION00888,High School,Business,15/11/2024,36.65,10,Writing,5,Confused,TRUE,5
SESSION00889,Undergraduate,Business,16/7/2024,11.96,5,Writing,5,Idea Drafted,TRUE,4.1
SESSION00890,Undergraduate,Engineering,25/4/2025,31,7,Writing,3,Idea Drafted,TRUE,1.7
SESSION00891,Undergraduate,Engineering,23/2/2025,2.79,1,Studying,4,Idea Drafted,TRUE,4
SESSION00892,High School,Engineering,10/4/2025,54.74,13,Coding,3,Assignment Completed,TRUE,3.1
SESSION00893,Undergraduate,History,13/2/2025,19.55,5,Writing,4,Assignment Completed,TRUE,3.9
SESSION00894,Undergraduate,Engineering,4/7/2024,17.66,7,Studying,4,Gave Up,FALSE,4.1
SESSION00895,Graduate,Biology,30/3/2025,4.34,1,Writing,5,Assignment Completed,FALSE,5
SESSION00896,Undergraduate,Business,21/8/2024,13.4,3,Coding,5,Assignment Completed,FALSE,5
SESSION00897,Graduate,Computer Science,8/11/2024,12.77,3,Research,4,Assignment Completed,TRUE,3.8
SESSION00898,Undergraduate,Psychology,23/10/2024,3.07,1,Studying,4,Assignment Completed,TRUE,4.4
SESSION00899,Undergraduate,Math,18/11/2024,23.32,9,Studying,4,Assignment Completed,FALSE,2.9
SESSION00900,Undergraduate,Biology,12/3/2025,23.53,5,Writing,3,Gave Up,TRUE,1.6
SESSION00901,Undergraduate,Computer Science,7/8/2024,67.54,24,Studying,5,Gave Up,TRUE,5
SESSION00902,Undergraduate,Business,28/4/2025,33.6,16,Brainstorming,4,Idea Drafted,FALSE,3.4
SESSION00903,Undergraduate,Business,14/6/2025,17.48,4,Writing,4,Assignment Completed,TRUE,3.8
SESSION00904,High School,Computer Science,5/1/2025,4.68,1,Brainstorming,5,Idea Drafted,FALSE,5
SESSION00905,Undergraduate,Computer Science,1/3/2025,6.6,1,Studying,3,Idea Drafted,TRUE,2.1
SESSION00906,High School,Business,14/10/2024,21.18,9,Homework Help,3,Assignment Completed,TRUE,4.9
SESSION00907,High School,Computer Science,12/4/2025,4.98,1,Brainstorming,4,Assignment Completed,TRUE,3.8
SESSION00908,Graduate,Business,15/10/2024,11.78,3,Writing,2,Gave Up,FALSE,3.3
SESSION00909,Undergraduate,History,3/10/2024,26.31,5,Coding,2,Idea Drafted,TRUE,1.7
SESSION00910,Undergraduate,Computer Science,24/8/2024,43.08,9,Coding,5,Assignment Completed,TRUE,5
SESSION00911,Undergraduate,Business,27/7/2024,7.21,2,Homework Help,3,Confused,FALSE,3
SESSION00912,High School,Business,21/1/2025,19.17,6,Coding,3,Assignment Completed,TRUE,3.9
SESSION00913,Undergraduate,Computer Science,5/5/2025,28.1,7,Research,2,Gave Up,FALSE,1.3
SESSION00914,High School,History,20/8/2024,9.69,2,Studying,4,Idea Drafted,TRUE,3.8
SESSION00915,Graduate,Psychology,12/2/2025,20.87,8,Coding,4,Assignment Completed,TRUE,4.2
SESSION00916,Undergraduate,Computer Science,10/3/2025,11.73,3,Writing,4,Assignment Completed,TRUE,3.9
SESSION00917,Undergraduate,Business,2/2/2025,23,4,Homework Help,3,Gave Up,TRUE,3.4
SESSION00918,Undergraduate,History,19/1/2025,22.3,9,Studying,5,Idea Drafted,TRUE,4.4
SESSION00919,High School,Business,26/12/2024,34.5,13,Research,4,Gave Up,FALSE,4.3
SESSION00920,Undergraduate,Business,13/10/2024,43.71,10,Homework Help,4,Idea Drafted,TRUE,3.9
SESSION00921,High School,Biology,31/12/2024,18.24,4,Studying,4,Assignment Completed,TRUE,4.7
SESSION00922,Graduate,Computer Science,12/1/2025,8.03,1,Studying,4,Gave Up,FALSE,3.1
SESSION00923,Graduate,Engineering,12/6/2025,26.88,12,Brainstorming,3,Assignment Completed,TRUE,2.8
SESSION00924,Undergraduate,Engineering,18/4/2025,28.91,6,Studying,3,Idea Drafted,TRUE,2.4
SESSION00925,High School,Psychology,23/7/2024,4.56,1,Research,4,Idea Drafted,TRUE,3.6
SESSION00926,Undergraduate,Computer Science,21/8/2024,7.62,1,Writing,4,Assignment Completed,TRUE,4.6
SESSION00927,Undergraduate,Biology,31/8/2024,1.98,1,Writing,2,Gave Up,TRUE,3.5
SESSION00928,Undergraduate,Computer Science,10/5/2025,21.96,8,Writing,3,Assignment Completed,TRUE,1.9
SESSION00929,Undergraduate,Engineering,16/4/2025,24.48,6,Writing,5,Confused,TRUE,4.9
SESSION00930,High School,Business,14/10/2024,23.22,5,Coding,5,Assignment Completed,TRUE,4.9
SESSION00931,Undergraduate,Engineering,4/1/2025,28.44,7,Homework Help,4,Assignment Completed,FALSE,3.6
SESSION00932,Undergraduate,Computer Science,20/2/2025,5.31,1,Writing,3,Assignment Completed,TRUE,3.5
SESSION00933,Graduate,Math,26/4/2025,2.76,1,Brainstorming,2,Assignment Completed,TRUE,2.1
SESSION00934,Undergraduate,History,10/7/2024,6.29,2,Writing,3,Idea Drafted,TRUE,2.4
SESSION00935,Undergraduate,Computer Science,23/10/2024,16.57,5,Homework Help,4,Assignment Completed,TRUE,4.4
SESSION00936,Undergraduate,Psychology,18/11/2024,28.98,11,Coding,3,Confused,FALSE,3.4
SESSION00937,Graduate,Computer Science,23/12/2024,10.16,2,Writing,4,Assignment Completed,TRUE,4.9
SESSION00938,Undergraduate,Computer Science,9/7/2024,8.06,2,Studying,3,Assignment Completed,TRUE,3.3
SESSION00939,Graduate,Psychology,6/1/2025,19.09,7,Writing,3,Idea Drafted,TRUE,2.7
SESSION00940,Graduate,Engineering,9/12/2024,10.61,4,Studying,4,Assignment Completed,TRUE,2.5
SESSION00941,High School,Engineering,22/12/2024,25.64,8,Studying,2,Confused,FALSE,1.7
SESSION00942,High School,Computer Science,4/7/2024,5.7,2,Studying,3,Idea Drafted,TRUE,3.6
SESSION00943,Undergraduate,Engineering,11/7/2024,23.58,5,Writing,4,Assignment Completed,TRUE,3.8
SESSION00944,Undergraduate,History,11/2/2025,36.59,9,Writing,3,Idea Drafted,FALSE,1.6
SESSION00945,High School,Biology,12/7/2024,16.63,3,Coding,5,Assignment Completed,TRUE,3.7
SESSION00946,Undergraduate,Biology,25/6/2024,22.66,5,Writing,4,Idea Drafted,FALSE,2.3
SESSION00947,Undergraduate,Biology,8/3/2025,17.7,4,Writing,4,Idea Drafted,FALSE,3.5
SESSION00948,Undergraduate,Biology,3/10/2024,23.89,8,Homework Help,4,Confused,FALSE,3.7
SESSION00949,Graduate,Math,3/6/2025,43.96,9,Studying,3,Assignment Completed,FALSE,2.7
SESSION00950,Undergraduate,History,27/9/2024,19.37,7,Homework Help,3,Assignment Completed,TRUE,2.3
SESSION00951,Undergraduate,Biology,17/11/2024,41.42,10,Writing,4,Idea Drafted,TRUE,2.7
SESSION00952,Graduate,Math,5/11/2024,4.45,1,Coding,4,Assignment Completed,TRUE,4.3
SESSION00953,Undergraduate,Math,26/2/2025,11.28,3,Homework Help,3,Gave Up,TRUE,3.8
SESSION00954,Graduate,Business,3/11/2024,6.13,1,Homework Help,5,Gave Up,FALSE,5
SESSION00955,Graduate,History,28/7/2024,29.62,8,Homework Help,3,Idea Drafted,TRUE,3.8
SESSION00956,Undergraduate,Biology,11/11/2024,9.84,4,Studying,5,Assignment Completed,TRUE,5
SESSION00957,Undergraduate,Business,1/4/2025,6.16,1,Writing,4,Assignment Completed,FALSE,4.4
SESSION00958,Undergraduate,Psychology,10/1/2025,10.74,2,Writing,3,Idea Drafted,FALSE,2.8
SESSION00959,Undergraduate,Biology,8/10/2024,11.58,3,Coding,4,Assignment Completed,TRUE,4.5
SESSION00960,Undergraduate,Business,15/1/2025,14.96,3,Homework Help,5,Confused,FALSE,4.2
SESSION00961,High School,Computer Science,21/8/2024,17.2,6,Studying,3,Assignment Completed,TRUE,2.7
SESSION00962,Undergraduate,Business,28/11/2024,14.98,3,Homework Help,3,Assignment Completed,FALSE,2.9
SESSION00963,Graduate,Computer Science,17/11/2024,31.93,9,Homework Help,4,Idea Drafted,TRUE,4.2
SESSION00964,High School,Business,28/1/2025,6.55,1,Writing,4,Idea Drafted,TRUE,5
SESSION00965,Undergraduate,Engineering,10/8/2024,19.35,4,Studying,4,Assignment Completed,TRUE,3.8
SESSION00966,Graduate,History,23/9/2024,24.33,7,Studying,3,Idea Drafted,TRUE,2.9
SESSION00967,Graduate,Computer Science,1/12/2024,29.19,12,Studying,4,Idea Drafted,TRUE,2.9
SESSION00968,Undergraduate,Engineering,20/8/2024,9.12,3,Studying,4,Assignment Completed,TRUE,4.6
SESSION00969,Graduate,Math,29/4/2025,12.86,3,Research,2,Gave Up,FALSE,3.1
SESSION00970,Undergraduate,Engineering,6/10/2024,16.42,4,Coding,4,Assignment Completed,TRUE,3.6
SESSION00971,Undergraduate,Psychology,8/1/2025,8.73,1,Coding,3,Assignment Completed,TRUE,2.1
SESSION00972,Graduate,Business,20/9/2024,10.66,2,Coding,3,Assignment Completed,TRUE,3.5
SESSION00973,Undergraduate,Business,26/10/2024,12.09,3,Homework Help,5,Assignment Completed,TRUE,5
SESSION00974,Undergraduate,Computer Science,14/11/2024,8.9,2,Studying,3,Assignment Completed,TRUE,3.4
SESSION00975,Graduate,Psychology,7/3/2025,33.21,6,Writing,2,Assignment Completed,FALSE,2.6
SESSION00976,Undergraduate,Psychology,13/7/2024,31.15,10,Research,4,Assignment Completed,TRUE,3.5
SESSION00977,Undergraduate,Computer Science,13/11/2024,16.48,4,Writing,4,Assignment Completed,TRUE,2.6
SESSION00978,High School,Psychology,22/10/2024,5.28,1,Studying,2,Assignment Completed,TRUE,2.7
SESSION00979,Undergraduate,Business,9/5/2025,9.08,3,Research,3,Assignment Completed,TRUE,2.8
SESSION00980,Undergraduate,Business,29/8/2024,41.9,11,Studying,3,Idea Drafted,TRUE,2.7
SESSION00981,Undergraduate,Math,24/4/2025,37.63,17,Studying,5,Idea Drafted,FALSE,5
SESSION00982,Undergraduate,Engineering,3/2/2025,16.78,6,Brainstorming,4,Idea Drafted,TRUE,4.6
SESSION00983,Undergraduate,History,16/11/2024,19.91,5,Writing,3,Idea Drafted,FALSE,3.6
SESSION00984,Undergraduate,Computer Science,3/4/2025,22.96,4,Writing,3,Assignment Completed,FALSE,5
SESSION00985,Undergraduate,Math,10/7/2024,17.75,4,Coding,3,Idea Drafted,TRUE,3.3
SESSION00986,Undergraduate,Engineering,24/1/2025,22.81,8,Writing,4,Assignment Completed,TRUE,2.7
SESSION00987,Undergraduate,Math,28/3/2025,6.1,2,Studying,2,Idea Drafted,TRUE,1.2
SESSION00988,Graduate,Math,9/7/2024,12.93,3,Brainstorming,4,Confused,TRUE,3.8
SESSION00989,High School,Business,21/2/2025,29.67,6,Writing,4,Assignment Completed,TRUE,3.6
SESSION00990,High School,Engineering,23/12/2024,23.21,5,Writing,3,Gave Up,TRUE,2
SESSION00991,Undergraduate,Business,14/7/2024,15.55,3,Writing,5,Confused,FALSE,5
SESSION00992,Graduate,History,28/11/2024,10.61,3,Studying,5,Assignment Completed,TRUE,4.4
SESSION00993,Graduate,Math,12/9/2024,23.01,6,Research,4,Idea Drafted,FALSE,4
SESSION00994,Graduate,Business,25/9/2024,13.42,5,Coding,5,Confused,FALSE,5
SESSION00995,Undergraduate,Business,30/11/2024,60.65,12,Homework Help,4,Confused,TRUE,3.3
SESSION00996,Graduate,Math,12/2/2025,19.3,5,Homework Help,3,Confused,FALSE,3.4
SESSION00997,Undergraduate,Business,22/5/2025,54.36,22,Homework Help,3,Assignment Completed,TRUE,4.6
SESSION00998,Graduate,History,17/2/2025,7.24,2,Research,4,Assignment Completed,TRUE,3.6
SESSION00999,High School,Engineering,26/1/2025,20.29,4,Brainstorming,2,Gave Up,FALSE,1.3
SESSION01000,Undergraduate,Business,19/12/2024,26.56,8,Coding,4,Assignment Completed,TRUE,4.8
SESSION01001,Undergraduate,Biology,19/2/2025,17.59,3,Coding,4,Assignment Completed,TRUE,3.9
SESSION01002,Graduate,History,8/11/2024,4.66,1,Coding,4,Idea Drafted,TRUE,3.6
SESSION01003,High School,Business,25/4/2025,40.94,8,Studying,3,Gave Up,TRUE,4.3
SESSION01004,High School,Engineering,30/6/2024,7.99,1,Homework Help,3,Confused,TRUE,4.1
SESSION01005,High School,Business,19/4/2025,16.41,4,Homework Help,4,Gave Up,FALSE,4.4
SESSION01006,High School,Biology,21/2/2025,43.72,9,Studying,4,Assignment Completed,TRUE,2.9
SESSION01007,Undergraduate,Biology,22/4/2025,37.5,12,Studying,5,Gave Up,TRUE,4.2
SESSION01008,Undergraduate,History,26/2/2025,18.62,5,Research,5,Idea Drafted,TRUE,5
SESSION01009,Undergraduate,Biology,23/6/2025,12.93,3,Studying,4,Assignment Completed,FALSE,5
SESSION01010,High School,History,22/5/2025,42.25,14,Writing,5,Assignment Completed,FALSE,5
SESSION01011,Undergraduate,Engineering,18/6/2025,25.16,12,Homework Help,3,Assignment Completed,TRUE,3.5
SESSION01012,Undergraduate,History,14/1/2025,9.23,3,Brainstorming,2,Assignment Completed,TRUE,2.4
SESSION01013,Undergraduate,Biology,3/9/2024,23.07,5,Brainstorming,5,Assignment Completed,TRUE,5
SESSION01014,Undergraduate,Biology,11/8/2024,88.21,26,Writing,3,Idea Drafted,TRUE,3
SESSION01015,Undergraduate,Business,19/7/2024,26.81,6,Writing,4,Assignment Completed,TRUE,3.6
SESSION01016,Graduate,History,17/7/2024,31.41,6,Writing,4,Assignment Completed,FALSE,3
SESSION01017,Graduate,Business,6/10/2024,13.25,4,Brainstorming,4,Idea Drafted,TRUE,4
SESSION01018,Undergraduate,Computer Science,1/5/2025,11.86,2,Studying,4,Confused,TRUE,4.8
SESSION01019,Graduate,Psychology,12/7/2024,17.85,7,Research,4,Gave Up,TRUE,4.3
SESSION01020,Undergraduate,Engineering,19/6/2025,4.71,1,Writing,4,Assignment Completed,FALSE,3.6
SESSION01021,Undergraduate,Math,10/8/2024,18.53,5,Homework Help,5,Assignment Completed,TRUE,4.6
SESSION01022,Undergraduate,Computer Science,26/5/2025,16.03,3,Research,3,Assignment Completed,TRUE,3.7
SESSION01023,High School,Biology,23/11/2024,24.02,5,Studying,3,Confused,TRUE,1.7
SESSION01024,High School,History,30/9/2024,14.67,3,Coding,5,Idea Drafted,FALSE,5
SESSION01025,Undergraduate,History,14/5/2025,30.45,10,Studying,3,Confused,FALSE,1.7
SESSION01026,Undergraduate,Computer Science,15/1/2025,15.5,7,Studying,4,Idea Drafted,TRUE,3.4
SESSION01027,Undergraduate,History,11/8/2024,13.27,4,Writing,5,Idea Drafted,FALSE,5
SESSION01028,Undergraduate,Math,4/6/2025,9.94,2,Homework Help,3,Idea Drafted,TRUE,3.8
SESSION01029,Undergraduate,Computer Science,25/1/2025,8.51,2,Writing,5,Idea Drafted,FALSE,4.9
SESSION01030,Undergraduate,Engineering,14/6/2025,34.02,14,Research,3,Idea Drafted,TRUE,2.8
SESSION01031,Undergraduate,History,15/1/2025,8.18,1,Studying,4,Idea Drafted,TRUE,3.1
SESSION01032,Undergraduate,History,6/4/2025,7.38,2,Writing,3,Assignment Completed,TRUE,1.2
SESSION01033,High School,Math,25/6/2024,3.66,1,Homework Help,2,Confused,FALSE,2.7
SESSION01034,Undergraduate,Math,3/10/2024,8.13,1,Writing,4,Assignment Completed,TRUE,5
SESSION01035,Undergraduate,Biology,21/2/2025,3.4,1,Coding,4,Assignment Completed,TRUE,4
SESSION01036,High School,Psychology,4/4/2025,22.32,7,Homework Help,3,Assignment Completed,FALSE,3.3
SESSION01037,Graduate,History,2/10/2024,0.83,1,Writing,3,Gave Up,FALSE,3
SESSION01038,Undergraduate,Math,22/5/2025,45.12,9,Writing,5,Gave Up,FALSE,5
SESSION01039,High School,Psychology,1/3/2025,23.81,6,Writing,3,Assignment Completed,FALSE,3.6
SESSION01040,Graduate,Engineering,31/8/2024,23.79,6,Writing,3,Idea Drafted,TRUE,1.9
SESSION01041,High School,Math,22/1/2025,21.52,8,Homework Help,4,Assignment Completed,FALSE,4.4
SESSION01042,Undergraduate,Biology,24/12/2024,5.57,1,Homework Help,2,Gave Up,TRUE,1.7
SESSION01043,Undergraduate,Business,3/1/2025,14.55,3,Brainstorming,3,Assignment Completed,TRUE,3.7
SESSION01044,Undergraduate,Psychology,31/5/2025,24.13,6,Studying,3,Idea Drafted,FALSE,2.7
SESSION01045,Graduate,Computer Science,20/6/2025,23.1,8,Writing,4,Confused,TRUE,5
SESSION01046,Undergraduate,History,28/9/2024,23.36,9,Writing,2,Assignment Completed,TRUE,1
SESSION01047,Undergraduate,Psychology,10/1/2025,56.72,17,Writing,3,Idea Drafted,FALSE,3.4
SESSION01048,High School,Math,7/9/2024,30.44,12,Coding,3,Confused,TRUE,2.2
SESSION01049,Undergraduate,Computer Science,17/11/2024,4.94,1,Studying,3,Idea Drafted,TRUE,2.3
SESSION01050,Undergraduate,Computer Science,29/3/2025,40.36,9,Studying,4,Assignment Completed,TRUE,4.3
SESSION01051,Undergraduate,Business,16/4/2025,20.39,5,Homework Help,5,Confused,TRUE,4
SESSION01052,Undergraduate,Psychology,4/9/2024,22.93,8,Brainstorming,3,Assignment Completed,TRUE,3.3
SESSION01053,Undergraduate,Psychology,15/1/2025,9.72,3,Writing,4,Assignment Completed,TRUE,4.7
SESSION01054,Undergraduate,Math,2/3/2025,6.52,1,Homework Help,3,Confused,FALSE,2.9
SESSION01055,Graduate,Business,18/7/2024,21.55,4,Studying,5,Assignment Completed,TRUE,4.7
SESSION01056,Graduate,Business,26/11/2024,11.39,3,Writing,4,Assignment Completed,FALSE,4.3
SESSION01057,High School,Computer Science,6/10/2024,9.47,2,Homework Help,2,Confused,FALSE,1.1
SESSION01058,High School,Business,26/9/2024,11.94,5,Homework Help,5,Gave Up,FALSE,5
SESSION01059,Undergraduate,History,23/8/2024,9.93,3,Studying,4,Idea Drafted,TRUE,3.2
SESSION01060,Graduate,Engineering,12/3/2025,5.88,1,Writing,2,Idea Drafted,FALSE,1.6
SESSION01061,High School,Engineering,19/7/2024,7.51,2,Research,5,Confused,TRUE,5
SESSION01062,Undergraduate,Engineering,17/8/2024,25.97,7,Homework Help,4,Assignment Completed,TRUE,3.5
SESSION01063,Undergraduate,Math,21/3/2025,24.85,6,Studying,4,Idea Drafted,FALSE,2.9
SESSION01064,Undergraduate,History,26/11/2024,34.04,14,Coding,4,Idea Drafted,TRUE,4.8
SESSION01065,Undergraduate,Psychology,19/2/2025,17.93,7,Coding,3,Idea Drafted,TRUE,3.6
SESSION01066,Undergraduate,Computer Science,14/3/2025,9.43,2,Studying,5,Assignment Completed,TRUE,4.4
SESSION01067,Undergraduate,Biology,16/10/2024,20.43,5,Writing,4,Assignment Completed,TRUE,4.3
SESSION01068,Undergraduate,History,1/4/2025,20.25,7,Coding,3,Assignment Completed,TRUE,3.2
SESSION01069,Undergraduate,History,29/8/2024,51.65,21,Studying,5,Idea Drafted,TRUE,4.8
SESSION01070,Undergraduate,Engineering,12/1/2025,3.72,1,Studying,4,Idea Drafted,TRUE,2.9
SESSION01071,Undergraduate,Psychology,31/1/2025,3.66,1,Writing,2,Idea Drafted,TRUE,1.7
SESSION01072,Graduate,Math,1/3/2025,19.43,9,Homework Help,3,Gave Up,FALSE,1.8
SESSION01073,Undergraduate,Business,11/3/2025,40.92,12,Studying,3,Confused,TRUE,3.3
SESSION01074,Undergraduate,Computer Science,10/3/2025,24.46,5,Studying,5,Confused,TRUE,4.5
SESSION01075,Undergraduate,Engineering,3/4/2025,20.56,8,Homework Help,4,Gave Up,TRUE,3.7
SESSION01076,Undergraduate,Engineering,21/10/2024,9.46,3,Studying,3,Assignment Completed,TRUE,3.1
SESSION01077,High School,Business,29/11/2024,4.88,1,Writing,3,Confused,FALSE,2.8
SESSION01078,Undergraduate,Math,17/10/2024,62.82,17,Homework Help,4,Assignment Completed,FALSE,2.6
SESSION01079,Undergraduate,Engineering,24/8/2024,6.16,1,Writing,3,Confused,TRUE,1
SESSION01080,Undergraduate,History,2/7/2024,51.36,24,Homework Help,2,Gave Up,TRUE,1.4
